,State,Job,Companies,Location,Summary,Salary,Links,Post_Date
174, Maharashtra,Data Science,Vodafone,"Pune, Maharashtra","Provides deep technical analytical and data expertise to the business and other Data Scientists, using a wide variety of available data, to solve complex…",No Salary,/rc/clk?jk=3dc9bf9436224afa&fccid=374d720d3973ca1c&vjs=3,08-24-2022
175, Karnataka,Data Scientist,VBeyond Corporation,"Bengaluru, Karnataka",Work with data scientists to operationalize machine learning models. Create data tools for analytics and data scientist team members that assist them in…,"₹25,00,000 - ₹40,00,000 a year",/rc/clk?jk=42a4a80fcf36a512&fccid=880f4c13656df46d&vjs=3,08-24-2022
176, Haryana,Machine Learning Engineer II,Expedia Group,"Gurgaon, Haryana",Will work in a cross-functional team of Machine Learning engineers and Data scientists to design and code large scale batch and real-time data pipelines on the…,No Salary,/rc/clk?jk=b27623dba561d954&fccid=160efb82f2462f14&vjs=3,08-24-2022
177, Haryana,Specialist -Data Science Engineer,Sun Life,"Gurgaon, Haryana","Experience building tools for data scientists and developers. Experience in building data pipeline using on cloud using Cloud technologies (S3, SQS, SNS,…",No Salary,/rc/clk?jk=5a278477e3f2efd5&fccid=618943d89d0005a6&vjs=3,08-24-2022
178, Karnataka,Data Scientist / Senior Data Scientist,Fidelity Investments,"Bengaluru, Karnataka",Lead and guide data science and data engineering elements of AI projects. Candidate should be experienced in handling various data types and structures:…,No Salary,/rc/clk?jk=6ca832daac208e38&fccid=deb234f9dd3edcea&vjs=3,08-24-2022
179, Karnataka,Data Scientist / Senior Data Scientist,Fidelity Investments,"Bengaluru, Karnataka",Lead and guide data science and data engineering elements of AI projects. Candidate should be experienced in handling various data types and structures:…,No Salary,/rc/clk?jk=6ca832daac208e38&fccid=deb234f9dd3edcea&vjs=3,08-24-2022
180, Telangana,Associate Big Data Engineer,MetLife,"Hyderabad, Telangana","Technologies and frameworks to process data, create data pipelines and collaborate with the data science. Good SQL knowledge and data analysis skills for data…",No Salary,/rc/clk?jk=ed0b88eee5640d9c&fccid=503cbddf55bc6990&vjs=3,08-24-2022
181, Delhi,"Senior Data Scientist, AI CoE",Boston Consulting Group,"New Delhi, Delhi",Text mining and unstructured data analytics. Guide junior Data scientists in CoE or in other tribes where required on day to day execution and data science best…,No Salary,/rc/clk?jk=aa12531976b1cffa&fccid=b95f9eb47968fa13&vjs=3,08-24-2022
182, Uttar Pradesh,Data Analytics Product Management - Manager - Telco,Paytm,"Noida, Uttar Pradesh","Strong experience in Python, SQL and data visualization. Analyze market data to develop sales strategies, and define product objectives for effective marketing…",No Salary,/rc/clk?jk=20c123fd47bf6a63&fccid=4e917d9a3b14765d&vjs=3,08-24-2022
183, Karnataka+1 location,CCB Risk - Machine Learning Modeling - Associate,"JPMorgan Chase Bank, N.A.","Bengaluru, Karnataka+1 location",Evaluate the effectiveness and accuracy of new data sources and data gathering techniques. Strong ability to understand and interpret data.,No Salary,/rc/clk?jk=47f6c659573e1df2&fccid=aaf3b433897ea465&vjs=3,08-24-2022
184, Tamil Nadu,Machine Learning Engineer,CogniveAI Innovations,"Chennai, Tamil Nadu","Experience with object detection, object classification, gesture recognition or human pose estimation and training deep neural networks using synthetic and…",No Salary,/rc/clk?jk=40ab190046222bd3&fccid=dd616958bd9ddc12&vjs=3,08-24-2022
185, Tamil Nadu,Machine Learning Engineer,CogniveAI Innovations,"Chennai, Tamil Nadu","Experience with object detection, object classification, gesture recognition or human pose estimation and training deep neural networks using synthetic and…",No Salary,/rc/clk?jk=40ab190046222bd3&fccid=dd616958bd9ddc12&vjs=3,08-24-2022
186, Karnataka,Lead - Software Engineering - Data Science,Fidelity Investments,"Bengaluru, Karnataka","This role demonstrates an intermediate level of data science knowledge with some experience with data science techniques, systems and processes.",No Salary,/rc/clk?jk=c66c4aef70c933a9&fccid=deb234f9dd3edcea&vjs=3,08-24-2022
187, Karnataka,Machine Learning Engineer,Diageo,"Bengaluru, Karnataka","Experience working with large amounts of data in a high throughput environment. Bachelor’s degree (B.S.) in computer science, mathematics, statistics, economics…",No Salary,/rc/clk?jk=8902953a5eb312bf&fccid=942d238ea16c5cd0&vjs=3,08-24-2022
188,India,Deputy Manager Analytics,Bajaj Allianz General Insurance Company,India,Provide data support to NHOD for Budgeting / share holder reviews. Model development and data science support to support additional business opportunities.,No Salary,/rc/clk?jk=9fe45e4a56a7c7e6&fccid=8d879c4d3e3cadca&vjs=3,08-24-2022
189, Karnataka,ISC Analytics Specialist II,Honeywell,"Bengaluru, Karnataka","The skills mix of this team is a blend of an exhaustive knowledge of supply chain concepts, data analysis, data engineering, data science and diverse problem…",No Salary,/rc/clk?jk=ba88fdd6846156d8&fccid=50208b5bf45ee3b8&vjs=3,08-24-2022
190, Maharashtra,Head Of Analytics,ThinkBridge Software,"Remote in Pune, Maharashtra",Proficiency with data visualization tools and methodologies. Collaborate closely with Data Engineering to implement proper data and analytic methodologies to…,No Salary,/rc/clk?jk=857a1b22d09a4dd4&fccid=6e46cb33b5a53fb0&vjs=3,08-24-2022
191, Maharashtra,Head Of Analytics,ThinkBridge Software,"Remote in Pune, Maharashtra",Proficiency with data visualization tools and methodologies. Collaborate closely with Data Engineering to implement proper data and analytic methodologies to…,No Salary,/rc/clk?jk=857a1b22d09a4dd4&fccid=6e46cb33b5a53fb0&vjs=3,08-24-2022
192, Telangana,Machine Learning Engineer,Corteva Agriscience,"Hyderabad, Telangana",Create reliable and reproducible workflows and pipelines that deliver data products to our end users. Corteva Agriscience is seeking a Machine Learning Engineer…,No Salary,/rc/clk?jk=13c87e3cbfa7bd8d&fccid=d2536e400fa1f147&vjs=3,08-24-2022
193, Karnataka,Project Manager - Knowledge graphs/NLP,Siemens,"Bengaluru, Karnataka",We are looking for an experienced Project Manager who can strategize and steer to a program to business success by building innovative solutions that cater to…,No Salary,/rc/clk?jk=c0a9ecf9180c56e7&fccid=ea6bb53f0b18b8f2&vjs=3,08-24-2022
194, Karnataka,Sr. Engineer - Data Science,Ingersoll Rand,"Bengaluru, Karnataka",Possess profound knowledge and good overview of data analytics techniques and experience with processing timeseries data.,No Salary,/rc/clk?jk=3d406e80e98c0c3b&fccid=2e3453ae2db0c66d&vjs=3,08-24-2022
195, Maharashtra,Financial Advisory International - Data Analytics - AM - Dat...,Deloitte,"Mumbai, Maharashtra","Experience in designing and executing a data collection plan from both structured & unstructured sources that helps on data exploration, hypothesis testing &…",No Salary,/rc/clk?jk=0d5289006a632daa&fccid=9e215d88a6b33622&vjs=3,08-24-2022
196, Maharashtra,Analytics Manager,Larsen & Toubro Limited,"Powai, Mumbai, Maharashtra","Data Exploration, Mathematical/statistical modelling, data analysis and hypothesis testing. Analyze & Interpret data and communicate results to clients with aid…",No Salary,/rc/clk?jk=93cf2b0b8ae3bd61&fccid=4ed03476a1620afb&vjs=3,08-24-2022
197, Maharashtra,Analytics Manager,Larsen & Toubro Limited,"Powai, Mumbai, Maharashtra","Data Exploration, Mathematical/statistical modelling, data analysis and hypothesis testing. Analyze & Interpret data and communicate results to clients with aid…",No Salary,/rc/clk?jk=93cf2b0b8ae3bd61&fccid=4ed03476a1620afb&vjs=3,08-24-2022
198, Karnataka,Converge Consumer-Price/Promotion Data Scientist,Deloitte,"Bengaluru, Karnataka","Knowledge of and experience working with data architectures, data models, and data security and data governance. Learn more about Life at Deloitte.",No Salary,/rc/clk?jk=cb531b8a36f00d7c&fccid=9e215d88a6b33622&vjs=3,08-24-2022
199, Karnataka,"Senior Systems Software Engineer, Deep Learning Accelerator...",Oski Technology,"Bengaluru, Karnataka",NVIDIA is hiring senior system software engineers for its Automotive Machine Learning and Computer Vision teams. What you'll be doing: What we need to see:,No Salary,/rc/clk?jk=9598083e6a128cc6&fccid=0fcbd08b8cf44e1b&vjs=3,08-24-2022
200, Karnataka,Senior Solutions Architect - Deep Learning,Oski Technology,"Bengaluru, Karnataka","We are looking for a Deep Learning Solutions Architect, a best-in-class data scientists and engineers able to engage with developers, researchers, and start-ups…",No Salary,/rc/clk?jk=c682ae814cd22f1f&fccid=0fcbd08b8cf44e1b&vjs=3,08-24-2022
201, Karnataka,Sr Analyst Business Intelligence Analytics,Empower Retirement,"Bengaluru, Karnataka","Mentor users across the organization to promote data education, technical best practices, and a data-driven culture in all aspects of the business.",No Salary,/rc/clk?jk=04f3faa3f47f8730&fccid=796b5a2c2fc5984d&vjs=3,08-24-2022
202, Karnataka,"Senior Deep Learning Software Engineer, Datacenters",Oski Technology,"Bengaluru, Karnataka","As NVIDIA makes inroads into the Datacenter business, our team plays a central role in getting the most out of our exponentially growing datacenter deployments…",No Salary,/rc/clk?jk=6304032949f9275f&fccid=0fcbd08b8cf44e1b&vjs=3,08-24-2022
203, Karnataka,"Senior Deep Learning Software Engineer, Datacenters",Oski Technology,"Bengaluru, Karnataka","As NVIDIA makes inroads into the Datacenter business, our team plays a central role in getting the most out of our exponentially growing datacenter deployments…",No Salary,/rc/clk?jk=6304032949f9275f&fccid=0fcbd08b8cf44e1b&vjs=3,08-24-2022
204, Karnataka,Sr Mgr Applied Data Scientist,Tesco,"Bengaluru, Karnataka","We are a multi-disciplinary team creating a sustainable competitive advantage for Tesco by standardising processes, delivering cost savings, enabling agility,…",No Salary,/rc/clk?jk=4df6184ae32bd9b3&fccid=d0e9d5166a3ee29e&vjs=3,08-24-2022
205, Kerala,Data Scientist,Techvantage Analytics,"Thiruvananthapuram, Kerala",Undertake preprocessing of structured and unstructured data. Identify valuable data sources and automate collection processes.,"₹5,00,000 - ₹15,00,000 a year",/rc/clk?jk=93e61fba9c2f28f4&fccid=d65daff4af8a9f4f&vjs=3,08-24-2022
206, Uttar Pradesh,Azure Solution Architect-Data and AI,cynarissolutions,"Meerut, Uttar Pradesh","Experience in big data workloads like HDInsight, Hadoop, Spark,. Expertise in two or more data estate workloads like Teradata, Oracle Exadata, IBM Netezza, SAP …","₹7,10,925 - ₹20,54,414 a year",/company/cynarissolutions/jobs/Azure-Solution-Architect-Data-Ai-9630a14d9ef397a6?fccid=1c2df553b50179da&vjs=3,08-24-2022
207, Telangana,Conversational AI BOT Developer,FocusIT Tech Systems Private Limited,"Hyderabad, Telangana",FocusIT is looking for a *Conversational AI BOT Developer *to join our growing AI and Data Science Team. Experience designing and implementing conversational…,"₹4,00,000 - ₹15,00,000 a year",/company/FocusIT-Tech-Systems-Pvt-Ltd/jobs/Conversational-Ai-Bot-Developer-13b61319800a46e1?fccid=169904ca9a275a4a&vjs=3,08-27-2022
208, Punjab,Data Scientist,MABZONE IT SOLUTIONS,"Mohali, Punjab","Minimum 3 years of Proven experience as a Data Scientist using Python, AWS & Nodejs. Understanding of machine-learning and operations research.","₹3,60,000 - ₹8,00,000 a year",/company/mabzone/jobs/Data-Scientist-1c0c627f136eb95c?fccid=337e5aac44625657&vjs=3,08-25-2022
209, Punjab,Data Scientist,MABZONE IT SOLUTIONS,"Mohali, Punjab","Minimum 3 years of Proven experience as a Data Scientist using Python, AWS & Nodejs. Understanding of machine-learning and operations research.",No Salary,/company/mabzone/jobs/Data-Scientist-1c0c627f136eb95c?fccid=337e5aac44625657&vjs=3,08-25-2022
210, Tamil Nadu,Data Science Trainer,Web D School,"Chennai, Tamil Nadu",Minimum 4+ Years of experience in machine learning & data analytics. Work in a stress-free environment. Work only five days per week.,"₹50,000 - ₹60,000 a month",/company/Web-D-School/jobs/Data-Science-Trainer-88ce257ec91166bf?fccid=47479e0cc93754af&vjs=3,08-24-2022
211, Gujarat,AI-ML Engineer,WebOccult Technologies Pvt. Ltd.,"Ahmedabad, Gujarat",Define and implement data preparation and feature extraction for network data. Should have knowledge of algorithms and data structures.,No Salary,/company/WebOccult/jobs/Ai-Ml-Engineer-3ec0b0fb9600084d?fccid=a6aaea36f0b74186&vjs=3,08-24-2022
212, Karnataka,NLP Engineer,NeuranceAI Technologies,"Bengaluru, Karnataka","Random forest, data visualization techniques. Cutting-edge machine learning, data mining, and statistical techniques to analyse and utilise large-scale…","₹40,000 a month",/company/NeuranceAI-Technologies/jobs/Nlp-Engineer-6770732278e1d176?fccid=42a740c3d957f1d1&vjs=3,08-24-2022
213, Tamil Nadu,Artificial Intelligence Engineer,Vingsfire HRIM Pvt Ltd,"Chennai, Tamil Nadu",Experience working with large data sets and writing efficient code capable of processing large data streams at speed. Job Qualifications and Skill Sets*.,"₹2,00,000 - ₹4,00,000 a year",/company/Vingsfire-HRIM-Pvt-Ltd/jobs/Artificial-Intelligence-Engineer-22ae97464b6fb434?fccid=2cab18cb21ce060e&vjs=3,08-24-2022
214, Kerala,"Senior Consultant (Digital Measurement, AdTech, Data Analyti...",Nielsen,"Kochi, Kerala",Build data quality tracking mechanisms that identify disruptions in data ingestion and processing. Implement and configure the Multi-Touch Attribution product…,No Salary,/rc/clk?jk=21d7c2afa1c4c20e&fccid=683f563b5cc25b70&vjs=3,08-24-2022
215, Kerala,"Senior Consultant (Digital Measurement, AdTech, Data Analyti...",Nielsen,"Kochi, Kerala",Build data quality tracking mechanisms that identify disruptions in data ingestion and processing. Implement and configure the Multi-Touch Attribution product…,No Salary,/rc/clk?jk=21d7c2afa1c4c20e&fccid=683f563b5cc25b70&vjs=3,08-24-2022
216, Telangana,Data Scientist,Apple,"Hyderabad, Telangana","Good degree of knowledge about unstructured data analysis methodologies (NLP, NLG). Apple's Enterprise Data Warehouse landscape caters to a wide variety of real…",No Salary,/rc/clk?jk=2c1ed91be2924d32&fccid=c1099851e9794854&vjs=3,08-23-2022
217, Karnataka,Jr Data Scientist,Pluto7,"Remote in Bengaluru, Karnataka","Data scientists extract meaning from data, uncover insights and identify opportunities to inform business decision making.",No Salary,/rc/clk?jk=1f2f17aad584b2c7&fccid=303b7882c2847d78&vjs=3,08-23-2022
218, Karnataka,Data Scientist,Intel,"Hybrid remote in Bengaluru, Karnataka","Develop software, algorithms and applications to apply mathematics to data, perform large scale experimentation and build data driven apps to translate data…",No Salary,/rc/clk?jk=4438829bd0853188&fccid=936367796261bd6e&vjs=3,08-23-2022
219, Tamil Nadu,Data Scientist,Barclays,"Chennai, Tamil Nadu",Conceptualize and quickly build POC for new product ideas - should perform well as an individual contributor and work with other data scientists and data…,No Salary,/rc/clk?jk=d35d1a480920757c&fccid=057abf3fd357e717&vjs=3,08-23-2022
220,Remote,AI Experts,Indika AI,Remote,"Indika AI, a global data service company, helping AI companies to build state-of-the-art AI Models with high-quality training data annotation services, is…",No Salary,/rc/clk?jk=7af87972d8e8b40e&fccid=eb889fb896a6de9d&vjs=3,08-23-2022
221,Remote,AI Experts,Indika AI,Remote,"Indika AI, a global data service company, helping AI companies to build state-of-the-art AI Models with high-quality training data annotation services, is…",No Salary,/rc/clk?jk=7af87972d8e8b40e&fccid=eb889fb896a6de9d&vjs=3,08-23-2022
222, Karnataka,Data Scientist,ALSTOM,"Bengaluru, Karnataka","Manage a multidisciplinary team of data engineers, data scientists, machine learning engineers, and big data specialists on a wide variety of data projects.",No Salary,/rc/clk?jk=8f2e937c8f184765&fccid=70bbeb2771f8c8e7&vjs=3,08-23-2022
223, Maharashtra,Data Scientist Expert | 15 to 20 years | Pune,Capgemini,"Pune, Maharashtra","Played a data scientist, data analytics expert roles in the past. Exposure to Design Patterns, strong in data structure concepts and their implementations.",No Salary,/rc/clk?jk=9245d8b64ae9ee95&fccid=105ecfd0283f415f&vjs=3,08-23-2022
224, Karnataka,Data Scientist,Pluto7,"Remote in Bengaluru, Karnataka","Data scientists extract meaning from data, uncover insights and identify opportunities to inform business decision making. Experience in SQL, Python / R.",No Salary,/rc/clk?jk=be8d3ffede0cdc09&fccid=303b7882c2847d78&vjs=3,08-23-2022
225, Karnataka,Machine Learning Engineer,MetaMap,"Bengaluru, Karnataka",Data analysis skills to dive into the data and quantify ideas or bugs. Be involved in the full lifecycle of new ML feature development: understanding the…,No Salary,/rc/clk?jk=ec6ff40c54a103ad&fccid=a378b8388b2661c7&vjs=3,08-23-2022
226,India,Big Data Engineer II,Solera,India,Work with data using Azure SQL Server/Synapse/HQL. The ideal person for this role will be a problem-solver with an inquisitive and innovative mind & have a…,No Salary,/rc/clk?jk=2a0f35cb5090fada&fccid=aba27e89f85b47c6&vjs=3,08-23-2022
227,India,Big Data Engineer II,Solera,India,Work with data using Azure SQL Server/Synapse/HQL. The ideal person for this role will be a problem-solver with an inquisitive and innovative mind & have a…,No Salary,/rc/clk?jk=2a0f35cb5090fada&fccid=aba27e89f85b47c6&vjs=3,08-23-2022
228, Tamil Nadu,Senior Analytics Scientist I,GAIN Credit,"Chennai, Tamil Nadu","View all GAIN Credit jobs - Chennai jobs Salary Search: Senior Analytics Scientist I salaries in Chennai, Tamil Nadu",No Salary,/rc/clk?jk=45edf211afcf0dee&fccid=f93bef9eefa32e8a&vjs=3,08-23-2022
229, Karnataka,Senior Data Scientist,MetaMap,"Bengaluru, Karnataka",Identify opportunities to collect additional telemetry data to strengthen our core identity and reputation data and models.,No Salary,/rc/clk?jk=267d237e0f9f3d27&fccid=a378b8388b2661c7&vjs=3,08-23-2022
230, Maharashtra,Senior Data Scientist,Ciena,"Pune, Maharashtra","Knowledge of big-data concepts and technologies. 5+ years experience in a data-science role. Blue Planet, the Software division of Ciena, provides market…",No Salary,/rc/clk?jk=69eb21328b8a1b07&fccid=144a39be55e8440b&vjs=3,08-23-2022
231, Maharashtra,VP - Machine Learning Lead - AML - CTS Pune - C13 (R22053507...,Citi,"Pune, Maharashtra","At least 5 years of hands on data science experience in using data analytics, visualization, statistical programming and data mining for problem-solving.",No Salary,/rc/clk?jk=08b09cd9fc6610a3&fccid=5bcd1ef0a7f4fb99&vjs=3,08-23-2022
232, Tamil Nadu,Data Scientist,Ford Global Business Services,"Chennai, Tamil Nadu",The goal of GDI&A is to drive evidence-based decision making by providing insights from data. Acquire and share deep knowledge of data utilized by the team and…,No Salary,/rc/clk?jk=6cd1591ec74f0794&fccid=35c29eb190cc370d&vjs=3,08-23-2022
233, Tamil Nadu,Data Scientist,Ford Global Business Services,"Chennai, Tamil Nadu",The goal of GDI&A is to drive evidence-based decision making by providing insights from data. Acquire and share deep knowledge of data utilized by the team and…,No Salary,/rc/clk?jk=6cd1591ec74f0794&fccid=35c29eb190cc370d&vjs=3,08-23-2022
234, Karnataka,"Sr Manager, Presales - Big Data / AI",Databricks,"Bengaluru, Karnataka","Knowledgeable in and passionate about data-driven decisions, AI, and Cloud software models. As a Senior Pre-sales Manager (Strategic Accounts, Data & AI) will…",No Salary,/rc/clk?jk=bf6b82dbbfdb364b&fccid=3d0f7ba22a49432f&vjs=3,08-23-2022
235, Karnataka,AI and Machine Learning (ML) Performance Engineer,Hewlett Packard Enterprise,"Bengaluru, Karnataka",We are seeking an experienced AI and Machine Learning (ML) Performance Engineer with experience optimizing and tuning ML workloads on a variety of platforms.,No Salary,/rc/clk?jk=fb09834328a80e11&fccid=216eb700022de6f6&vjs=3,08-23-2022
236, Karnataka,Senior UX Data Scientist,Oracle,"Bengaluru, Karnataka",Interacts with product and service teams to identify questions and issues for data analysis and experiments. Identifies meaningful insights from large data and…,No Salary,/rc/clk?jk=51a0962c01c609f6&fccid=cd22d01053af7669&vjs=3,08-23-2022
237, Maharashtra,AVP Analytics (Data Science),HSBC,"Mumbai, Maharashtra","He/she will collaborate with Senior WPB Leadership team to determine and prioritize immediate requirements, and anticipate future Analytics, ML, BI/MI, Campaign…",No Salary,/rc/clk?jk=2d7381d870185b49&fccid=04c9b139c84ea1b5&vjs=3,08-23-2022
238, Maharashtra,Senior Machine Learning Engineer - C12 - AVP (CTS-07152022-R...,Citi,"Pune, Maharashtra","At least 4+ years of hands on data science experience using Python for data analytics, visualization, statistical programming and data mining for problem…",No Salary,/rc/clk?jk=2ec1921b4afd63d7&fccid=5bcd1ef0a7f4fb99&vjs=3,08-23-2022
239, Maharashtra,Senior Machine Learning Engineer - C12 - AVP (CTS-07152022-R...,Citi,"Pune, Maharashtra","At least 4+ years of hands on data science experience using Python for data analytics, visualization, statistical programming and data mining for problem…",No Salary,/rc/clk?jk=2ec1921b4afd63d7&fccid=5bcd1ef0a7f4fb99&vjs=3,08-23-2022
240, Karnataka,Senior Data Scientist,Pluto7,"Remote in Bengaluru, Karnataka","Data scientists extract meaning from data, uncover insights and identify opportunities to inform business decision making.",No Salary,/rc/clk?jk=169128a5cfce1a26&fccid=303b7882c2847d78&vjs=3,08-23-2022
241, Karnataka,CDP Developer,Ralph Lauren,"Bengaluru, Karnataka","Excellent knowledge of data management, data integration, and database development techniques. Design and build reliable data pipelines to move, extract,…",No Salary,/rc/clk?jk=59abfb1b3e533e0a&fccid=535de7c767791408&vjs=3,08-23-2022
242, Rajasthan,Artificial Intelligence & ML Engineer,Vaibhav Global,"Jaipur, Rajasthan","Use machine learning on a set of data inputs in a software development life cycle. Since the start of this program six years ago, we have distributed 54 Million…","₹8,00,000 a year",/rc/clk?jk=8962a53e22238b87&fccid=54c3d825f63ccff5&vjs=3,08-23-2022
243, Karnataka,"Sr Manager, Analytics",Merkle,"Bengaluru, Karnataka","Excellent written and oral communication skills, including data visualization skills. Four or more years of analytics experience in a data-driven agency…",No Salary,/rc/clk?jk=2f6fa79388d31aba&fccid=9de52fa9ca5b17cd&vjs=3,08-23-2022
244, Tamil Nadu,Senior Manager II Data Analytics,Walmart Global Tech India,"Chennai, Tamil Nadu",Find workable solution in case of data inconsistency and inconclusive data. Troubleshooting and fixing data issue. Work with big data on GCP and Azure.,No Salary,/rc/clk?jk=fd46e9a47be8c6c2&fccid=0d167dde0758739a&vjs=3,08-23-2022
245, Tamil Nadu,Senior Manager II Data Analytics,Walmart Global Tech India,"Chennai, Tamil Nadu",Find workable solution in case of data inconsistency and inconclusive data. Troubleshooting and fixing data issue. Work with big data on GCP and Azure.,No Salary,/rc/clk?jk=fd46e9a47be8c6c2&fccid=0d167dde0758739a&vjs=3,08-23-2022
246, Maharashtra,"Data Scientist (Data Analytics, Cloud, Big Data, Python)",Diebold Nixdorf,"Mumbai, Maharashtra","Analyzes a variety of data sources such as customer, transaction and product-related data to identify patterns and drivers through data mining, statistical…",No Salary,/rc/clk?jk=2dca1c0aecb3073f&fccid=2d7b3336dfa1c1f4&vjs=3,08-23-2022
247, Haryana,Senior Data Scientist - Performance Lens,McKinsey & Company,"Gurgaon, Haryana","Experience with building and maintaining large data sets to support data science development. Ability to work across structured, semi-structured and…",No Salary,/rc/clk?jk=925b3c7332f3f03e&fccid=6576e7250aa78c3c&vjs=3,08-23-2022
248, Karnataka,Sr Big Data Engineer,Solera,"Bengaluru, Karnataka",Manage the lifecycle of physical data models and data maps for data warehouse system. Plan and develop data ETL Using Azure Data Factory.,No Salary,/rc/clk?jk=cab209497e8701e4&fccid=aba27e89f85b47c6&vjs=3,08-23-2022
249, Maharashtra,DevOps Engineer for NLP,Cerence,"Pune, Maharashtra","Experience with a data processing or machine learning framework (e.g. NumPy, Panda, ScikitLearn, Keras, Tensorflow, Pytorch).",No Salary,/rc/clk?jk=04e311b750777878&fccid=96deaee4ceac5d13&vjs=3,08-23-2022
250, Karnataka,Senior Business Analyst (Analytics),Citi,"Bengaluru, Karnataka","Responsible for documenting data requirements, data collection / processing / cleaning, and exploratory data analysis; which may include utilizing statistical…",No Salary,/rc/clk?jk=7d4afcb4885bb97a&fccid=5bcd1ef0a7f4fb99&vjs=3,08-23-2022
251, Karnataka,Senior Business Analyst (Analytics),Citi,"Bengaluru, Karnataka","Responsible for documenting data requirements, data collection / processing / cleaning, and exploratory data analysis; which may include utilizing statistical…",No Salary,/rc/clk?jk=7d4afcb4885bb97a&fccid=5bcd1ef0a7f4fb99&vjs=3,08-23-2022
252, Maharashtra,"Specialist – Data Science and Analytics, Consulting Solution...",Marsh,"Mumbai, Maharashtra","Assess the need, effectiveness and discovery of new data sources and data gathering techniques through extensive research.",No Salary,/rc/clk?jk=d327b5b944968685&fccid=8881f7f9e22de728&vjs=3,08-23-2022
253, Karnataka,Decision Scientist - GoMart,ZigUp,"Remote in Bengaluru, Karnataka",Assimilate huge volumes of data and provide key insights using statistical tools and data visualization methods to product and business teams.,No Salary,/rc/clk?jk=a085714fefd0ce9c&fccid=ce6cd235b9f7009e&vjs=3,08-23-2022
254, Karnataka,Lead Analytics Consultant - Community Engagement,Wells Fargo,"Bengaluru, Karnataka","The Lead Business Initiatives Consultant will focus on several initiatives involving the analytic community, such as implementing a pre-set strategy for…",No Salary,/rc/clk?jk=93a98032f87b2724&fccid=78bbcd26e39621f5&vjs=3,08-23-2022
255,India,Specialist - Data Science - IT (12-23 yrs),ZigUp,India,Understanding the scalability and reliability of data intensive applications. Provide the technical guidance in Big data & AI technologies to the teams.,No Salary,/rc/clk?jk=12ef3b98ee2b7e52&fccid=ce6cd235b9f7009e&vjs=3,08-23-2022
256, Maharashtra,Senior Data Scientist,Acme Services,"Mumbai, Maharashtra","Work closely with the business stakeholders to identify and translate business problems to data. Responsible for designing, developing, testing and deploying ML…",No Salary,/rc/clk?jk=bf08f495376b6669&fccid=5bb70f6dd438d429&vjs=3,08-23-2022
257, Maharashtra,Senior Data Scientist,Acme Services,"Mumbai, Maharashtra","Work closely with the business stakeholders to identify and translate business problems to data. Responsible for designing, developing, testing and deploying ML…",No Salary,/rc/clk?jk=bf08f495376b6669&fccid=5bb70f6dd438d429&vjs=3,08-23-2022
258, Maharashtra,"Senior Specialist – Data Science, ESG",Marsh,"Mumbai, Maharashtra","Assess the need, effectiveness and discovery of new data sources and data gathering techniques through extensive research.",No Salary,/rc/clk?jk=026cd16773a9696f&fccid=8881f7f9e22de728&vjs=3,08-23-2022
259, Karnataka,Lead Business Analyst - (Analytics),Citi,"Bengaluru, Karnataka","Responsible for documenting data requirements, data collection / processing / cleaning, and exploratory data analysis; which may include utilizing statistical…",No Salary,/rc/clk?jk=7a33b51ec45ab0f0&fccid=5bcd1ef0a7f4fb99&vjs=3,08-23-2022
260, Karnataka,Principal Architect - Applied Machine Learning,Pluto7,"Bengaluru, Karnataka",Minimum 5+ years of working experience as a data scientist. Use large-scale data processing frameworks for feature engineering and be proficient across various…,No Salary,/rc/clk?jk=f4cd9e076ee18127&fccid=303b7882c2847d78&vjs=3,08-23-2022
261, Telangana,Software Engineer In Test - Deep Learning in Computer Vision,ZigUp,"Hybrid remote in Hyderabad, Telangana",Software Engineer In Test - Deep Learning in Computer Vision. The hybrid model provides the advantage of having both in-person time with colleagues and flexible…,No Salary,/rc/clk?jk=ab07e83e1e28a99c&fccid=ce6cd235b9f7009e&vjs=3,08-23-2022
262,India,Solytics Partners - AML Data Scientist (2-5 yrs),ZigUp,India,Analyzes and mines data in the various data sources to explain trends that appear on standard reports. A data science course would be a plus.,No Salary,/rc/clk?jk=1914e55bd9c33ad6&fccid=ce6cd235b9f7009e&vjs=3,08-23-2022
263,India,Solytics Partners - AML Data Scientist (2-5 yrs),ZigUp,India,Analyzes and mines data in the various data sources to explain trends that appear on standard reports. A data science course would be a plus.,No Salary,/rc/clk?jk=1914e55bd9c33ad6&fccid=ce6cd235b9f7009e&vjs=3,08-23-2022
264,India,Matrimony.com - Data Scientist/Senior Data Scientist (2-6 yr...,ZigUp,India,He or she should be passionate about data and aspire to be a go-to-person for data related understanding of the overall business.,No Salary,/rc/clk?jk=de05dcbba268a666&fccid=ce6cd235b9f7009e&vjs=3,08-23-2022
265, Karnataka,Lead Data Scientist,Pluto7,"Remote in Bengaluru, Karnataka","(5-8) years of relevant work experience in ML and advanced data analytics(e.g., as a Machine Learning Specialist / Senior Data scientist ).",No Salary,/rc/clk?jk=609b07b9c0fd3cfc&fccid=303b7882c2847d78&vjs=3,08-23-2022
